study_hours,attendance,previous_score,sleep_hours,assignments_completed,performance_score
7,50,48,5,2,73.2
4,60,51,5,1,60.400000000000006
8,77,92,9,0,99.9
5,74,40,5,5,73.2
7,99,97,8,4,111.5
3,72,97,6,8,91.4
7,80,40,8,0,75.0
8,79,86,6,6,110.1
5,91,73,6,4,89.5
4,84,71,5,4,81.60000000000001
8,56,93,7,1,96.0
8,65,87,4,2,98.30000000000001
3,75,64,5,6,75.1
6,97,79,5,5,100.69999999999999
5,98,84,7,1,90.0
2,51,92,4,5,72.1
8,50,40,8,1,73.0
6,97,55,9,1,83.1
2,61,78,9,1,61.5
5,54,44,8,2,62.800000000000004
1,86,61,5,1,57.2
6,81,68,4,3,87.5
9,58,94,5,8,116.0
1,90,42,6,5,58.8
3,84,51,5,0,60.60000000000001
7,68,65,5,7,95.4
4,97,55,8,6,83.1
9,65,90,8,9,118.5
3,52,76,8,2,65.0
5,69,61,9,0,70.10000000000001
3,73,96,6,4,83.30000000000001
7,82,68,8,3,92.8
5,73,53,4,9,86.1
9,60,67,9,7,103.8
7,98,44,7,0,82.0
2,57,86,4,9,79.5
4,85,88,4,0,80.7
9,87,69,8,3,104.69999999999999
2,89,85,7,7,84.7
9,69,91,7,4,110.1
5,84,44,9,1,69.80000000000001
2,97,51,7,5,69.5
4,74,55,6,4,72.2
7,84,65,8,1,88.2
8,74,65,7,2,92.2
3,78,87,9,8,89.2
1,67,60,6,6,61.099999999999994
4,95,78,5,6,91.7
2,67,75,5,5,70.1
8,51,72,6,7,98.1
4,84,69,9,3,78.80000000000001
2,65,76,6,7,73.9
6,90,62,8,3,87.8
6,85,97,8,7,108.30000000000001
4,82,49,5,8,80.19999999999999
6,53,93,7,2,87.1
2,82,44,9,2,56.199999999999996
2,63,75,5,1,60.9
4,70,73,7,9,88.2
8,97,91,7,2,109.5
7,69,70,8,2,87.7
9,57,49,4,4,89.69999999999999
8,56,97,4,4,103.6
5,52,58,6,1,65.80000000000001
2,66,97,8,9,86.60000000000001
5,82,71,7,5,88.0
8,97,40,9,4,93.1
9,61,95,4,5,111.3
9,71,44,7,0,83.9
1,71,84,4,4,67.9
9,95,43,4,8,106.7
7,79,55,4,9,98.7
9,87,63,9,1,98.3
8,87,55,8,0,88.1
1,94,94,9,9,88.80000000000001
8,57,41,5,8,89.5
8,76,88,7,9,116.0
3,76,67,8,8,80.6
1,83,71,8,8,74.3
8,70,66,8,5,97.4
3,79,59,8,7,76.30000000000001
3,82,63,9,0,64.8
1,77,51,8,9,66.5
5,96,89,6,3,95.4
7,82,74,7,0,89.19999999999999
9,54,99,8,7,114.80000000000001
7,97,72,7,0,92.89999999999999
9,68,72,6,2,98.2
8,53,90,6,3,97.9
2,84,82,7,7,82.0
1,98,76,4,5,74.8
7,66,51,5,9,93.2
7,93,42,4,6,91.7
8,77,40,4,7,93.1
5,79,72,9,1,79.5
3,78,79,4,9,88.0
8,95,49,8,7,102.1
6,55,82,9,2,83.30000000000001
3,84,83,9,6,85.4
1,90,68,6,2,63.2
3,86,52,4,6,73.6
5,73,51,6,1,69.3
3,78,70,7,9,84.4
1,98,85,5,5,78.4
5,95,41,9,2,73.9
7,80,90,7,2,99.0
7,84,89,7,8,111.80000000000001
9,82,74,8,6,111.19999999999999
3,70,62,5,4,68.8
7,81,56,7,9,99.7
1,72,65,7,6,64.6
4,82,47,5,8,79.39999999999999
4,52,68,5,0,62.800000000000004
5,67,65,7,6,83.1
7,74,49,5,5,86.80000000000001
7,91,65,7,9,106.3
4,80,73,7,8,89.2
7,52,90,8,0,86.6
3,89,80,4,3,79.7
6,95,46,7,8,92.9
2,73,43,6,3,55.099999999999994
9,99,97,9,9,131.5
5,81,92,4,2,90.1
6,96,89,4,8,110.4
4,71,84,4,1,76.9
7,72,50,8,3,82.6
9,51,68,7,5,97.5
7,76,95,8,1,97.8
1,91,75,7,7,76.3
1,51,64,8,7,59.9
9,75,60,8,0,91.5
9,66,96,9,2,107.2
4,89,75,6,9,94.7
9,82,49,8,8,105.19999999999999
3,58,76,9,4,70.8
7,92,48,5,5,91.8
6,97,63,6,3,90.3
8,88,74,8,9,114.0
9,78,88,4,1,105.60000000000001
5,91,74,5,7,95.9
1,75,87,5,5,72.30000000000001
3,84,75,9,4,78.2
8,99,57,5,8,108.5
6,74,88,6,0,87.4
8,73,78,8,4,101.1
9,62,71,8,5,102.0
4,56,63,4,4,70.0
1,85,62,9,5,65.3
1,94,71,4,5,71.60000000000001
4,69,76,5,6,83.10000000000001
7,50,51,4,3,76.4
2,57,88,6,7,76.3
3,95,94,8,6,93.1
1,65,52,5,8,61.3
5,63,62,4,6,80.7
1,61,64,9,2,52.900000000000006
8,72,74,6,2,95.19999999999999
1,64,80,6,7,70.2
1,77,69,4,4,63.7
2,83,56,8,3,63.3
2,51,88,4,7,74.5
6,81,59,5,5,87.9
7,72,87,4,1,93.4
5,71,64,6,3,77.9
1,74,61,4,3,57.6
1,71,52,8,5,57.1
3,71,98,9,5,85.5
2,98,58,7,0,62.6
5,91,88,4,7,101.5
6,55,75,8,5,86.5
7,64,51,8,2,78.60000000000001
4,92,80,9,8,95.6
7,86,58,6,1,86.0
8,82,51,8,7,99.0
1,57,48,8,9,59.3
6,93,46,8,2,80.3
8,93,67,8,4,102.7
5,54,53,5,5,72.4
4,88,70,5,9,92.4
2,53,91,6,5,72.3
6,55,58,4,3,75.7
6,94,97,8,2,101.0
1,81,86,9,3,69.7
9,79,55,4,0,90.7
6,96,92,9,3,101.6
3,84,44,4,0,57.800000000000004
4,89,74,6,0,76.30000000000001
4,65,51,8,9,77.9
3,62,64,8,5,69.19999999999999
3,99,91,7,4,89.1
3,91,98,9,3,87.5
4,79,60,4,2,71.7
7,68,75,4,0,85.4
4,66,92,5,5,86.6
9,68,62,7,1,92.2
1,77,55,5,7,64.1
8,75,96,5,9,118.9
7,86,78,5,4,100.0
2,75,84,9,6,78.1
8,72,92,9,9,116.4
